Film,Name,Category,Year_Film,Year_Ceremony,Critic_Score,Audience_Score,Winner,Unique_Group_ID
...And Justice for All,"Valerie Curtin, Barry Levinson",WRITING (Screenplay Written Directly for the Screen),1979,1980,0.83,0.8,False,1
...And Justice for All,Al Pacino,ACTOR IN A LEADING ROLE,1979,1980,0.83,0.8,False,1
10,Music by Henry Mancini; Lyric by Robert Wells,MUSIC (Original Song),1979,1980,0.68,0.56,False,2
10,Music by Henry Mancini; Lyric by Robert Wells,MUSIC (Original Song),1979,1980,0.85,0.8,False,2
10,Henry Mancini,MUSIC (Original Score),1979,1980,0.85,0.8,False,2
10,Music by Henry Mancini; Lyric by Robert Wells,MUSIC (Original Song),1979,1980,0.68,0.56,False,2
10,Henry Mancini,MUSIC (Original Score),1979,1980,0.68,0.56,False,2
10,Henry Mancini,MUSIC (Original Score),1979,1980,0.68,0.56,False,2
102 Dalmatians,Anthony Powell,COSTUME DESIGN,2000,2001,0.3,0.32,False,3
12,Russia,FOREIGN LANGUAGE FILM,2007,2008,0.77,0.83,False,4
12 Monkeys,Brad Pitt,ACTOR IN A SUPPORTING ROLE,1995,1996,0.88,0.88,False,5
12 Monkeys,Julie Weiss,COSTUME DESIGN,1995,1996,0.88,0.88,False,5
12 Years a Slave,Patricia Norris,COSTUME DESIGN,2013,2014,0.95,0.9,False,6
12 Years a Slave,Michael Fassbender,ACTOR IN A SUPPORTING ROLE,2013,2014,0.95,0.9,False,6
12 Years a Slave,Production Design: Adam Stockhausen; Set Decoration: Alice Baker,PRODUCTION DESIGN,2013,2014,0.95,0.9,False,6
12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",BEST PICTURE,2013,2014,0.95,0.9,True,6
12 Years a Slave,Joe Walker,FILM EDITING,2013,2014,0.95,0.9,False,6
12 Years a Slave,Chiwetel Ejiofor,ACTOR IN A LEADING ROLE,2013,2014,0.95,0.9,False,6
12 Years a Slave,Steve McQueen,DIRECTING,2013,2014,0.95,0.9,False,6
12 Years a Slave,Lupita Nyong'o,ACTRESS IN A SUPPORTING ROLE,2013,2014,0.95,0.9,True,6
12 Years a Slave,Screenplay by John Ridley,WRITING (Adapted Screenplay),2013,2014,0.95,0.9,True,6
127 Hours,James Franco,ACTOR IN A LEADING ROLE,2010,2011,0.93,0.85,False,7
127 Hours,Screenplay by Danny Boyle & Simon Beaufoy,WRITING (Adapted Screenplay),2010,2011,0.93,0.85,False,7
127 Hours,Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong,MUSIC (Original Song),2010,2011,0.93,0.85,False,7
127 Hours,Jon Harris,FILM EDITING,2010,2011,0.93,0.85,False,7
127 Hours,A.R. Rahman,MUSIC (Original Score),2010,2011,0.93,0.85,False,7
127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers",BEST PICTURE,2010,2011,0.93,0.85,False,7
13 Hours: The Secret Soldiers of Benghazi,"Gary Summers, Jeffrey J. Haboush and Mac Ruth",SOUND MIXING,2016,2017,0.52,0.83,False,8
1776,"Harry Stradling, Jr.",CINEMATOGRAPHY,1972,1973,0.68,0.84,False,9
1941,"William A. Fraker, A. D. Flowers, Gregory Jein",VISUAL EFFECTS,1979,1980,0.39,0.48,False,10
1941,William A. Fraker,CINEMATOGRAPHY,1979,1980,0.39,0.48,False,10
