Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
The Family Man,42,"Action, Comedy, Drama","Manoj Bajpayee, Samantha Akkineni, Priyamani, Sharib Hashmi",8.8,57632,2019
Lucifer,45,"Crime, Drama, Fantasy","Tom Ellis, Lauren German, Lesley-Ann Brandt, Kevin Alejandro",8.1,252826,2016
The Handmaid's Tale,42,"Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd",8.4,187007,2017
StartUp,60,"Crime, Thriller","Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza",8,18165,2016
Game of Thrones,44,"Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",9.3,1823966,2011
The Kominsky Method,57,"Comedy, Drama","Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang",8.2,29990,2018
Grey's Anatomy,30,"Drama, Romance","Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",7.5,261340,2005
The Blacklist,41,"Crime, Drama, Mystery","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold",8,207764,2013
Dirty John,43,"Crime, Drama","Connie Britton, Christian Slater, Eric Bana, Amanda Peet",7.2,16959,2018
The Walking Dead,44,"Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",8.2,874725,2010
Breaking Bad,44,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",9.4,1526926,2008
Peaky Blinders,49,"Crime, Drama","Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",8.8,380395,2013
The Boys,60,"Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",8.7,279838,2019
The Office,60,Comedy,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",8.9,441951,2005
Vikings,22,"Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",8.5,451657,2013
Criminal Minds,44,"Crime, Drama, Mystery","Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna",8,167842,2005
Manifest,42,"Drama, Mystery, Sci-Fi","Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez",7.2,25510,2018
Yellowstone,43,"Drama, Western","Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley",8.6,37622,2018
Stranger Things,60,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",8.7,864302,2016
Why Women Kill,51,"Comedy, Crime, Drama","Jack Davenport, Lucy Liu, Ginnifer Goodwin, Kirby Howell-Baptiste",8.4,13611,2019
The Flash,43,"Action, Adventure, Drama","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",7.6,314534,2014
Supernatural,44,"Drama, Fantasy, Horror","Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins",8.4,399980,2005
NCIS: Naval Criminal Investigative Service,60,"Action, Crime, Drama","Mark Harmon, David McCallum, Sean Murray, Pauley Perrette",7.7,123556,2003
The Good Doctor,41,Drama,"Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas",8.1,67670,2017
