ID,Year,Category,Nominee,Staff,Company,Producer,Win
1,2019,Outstanding Character Voice-Over Performance,The Simpsons,"Hank Azaria, as Moe, Carl, Duffman, Kirk",FOX,Gracie Films in association with 20th Century Fox Television,FALSE
2,2019,Outstanding Character Voice-Over Performance,Family Guy,"Alex Borstein, as Lois Griffin, Tricia Takanawa",FOX,20th Century Fox Television,FALSE
3,2019,Outstanding Character Voice-Over Performance,When You Wish Upon A Pickle: A Sesame Street Special,"Eric Jacobson, as Bert, Grover, Oscar",HBO,Sesame Street Workshop,FALSE
4,2019,Outstanding Character Voice-Over Performance,F Is For Family,"Kevin Michael Richardson, as Rosie",Netflix,Wild West Television in association with Gaumont Television,FALSE
5,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),Escape At Dannemora,"Mark Ricker, Production Designer; James Truesdale, Art Director; Cherish M. Hale, Set Decorator",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",FALSE
6,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),Killing Eve,"Laurence Dorman, Production Designer; Beckie Harvey, Art Director; Linda Wilson, Set Decorator",BBC America,Sid Gentle Films Ltd.,FALSE
7,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),Ozark,"Derek R. Hill, Production Designer; John Richardson, Art Director; Kim Leoleis, Set Decorator",Netflix,Media Rights Capital,FALSE
8,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),The Umbrella Academy,"Mark Worthington, Production Designer; Mark Steel, Art Director; Jim Lambie, Set Decorator",Netflix,UCP,FALSE
9,2019,Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),Game Of Thrones,"Deborah Riley, Production Designer; Paul Ghirardani, Art Director; Rob Cameron, Set Decorator",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
10,2019,Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),The Man In The High Castle,"Drew Boughton, Production Designer; Dean O'Dell, Art Director; Jonathan Lancaster, Set Decorator; Lisa Lancaster, Set Decorator",Prime Video,Amazon Studios,FALSE
11,2019,Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),The Marvelous Mrs. Maisel,"Bill Groom, Production Designer; Neil Prince, Art Director; Ellen Christiansen, Set Decorator",Prime Video,Amazon Studios,FALSE
